donor_id,gender,age,income_bracket,employment_status,signup_channel,home_center_id,distance_to_center_km,first_donation_date
138,M,56,<30k,unemployed,referral,40,21.02,2023-03-14
139,M,49,30-60k,retired,referral,28,15.84,2023-11-14
140,F,24,60-100k,unemployed,walk-in,22,30.19,2023-01-14
141,M,29,<30k,employed,referral,19,4.63,2023-12-22
142,F,46,60-100k,unemployed,online,18,12.04,2024-12-14
143,M,46,30-60k,employed,referral,30,17.98,2023-12-30
144,F,41,30-60k,employed,walk-in,34,6.68,2024-07-31
145,F,53,30-60k,employed,walk-in,12,4.7,2024-06-03
146,M,47,<30k,employed,referral,37,1.57,2024-09-14
147,F,56,30-60k,unemployed,online,25,8.01,2023-03-07
148,F,22,30-60k,student,online,23,1.78,2023-09-27
149,M,46,30-60k,student,online,20,6.7,2024-05-27
150,M,37,30-60k,unemployed,online,12,18.89,2023-06-05
151,F,23,<30k,employed,online,2,7.77,2023-10-20
152,F,46,60-100k,employed,online,5,9.63,2023-10-03
153,Other,41,60-100k,employed,online,29,3.79,2023-08-11
154,M,60,30-60k,unemployed,online,16,8.75,2023-12-07
155,M,25,<30k,employed,referral,34,9.14,2023-04-29
156,F,27,<30k,employed,referral,40,6.0,2023-01-01
157,M,33,60-100k,unemployed,walk-in,28,10.27,2024-12-04
158,M,26,100k+,retired,walk-in,13,5.01,2023-04-12
159,M,55,30-60k,retired,referral,23,6.4,2023-11-27
160,M,24,<30k,employed,online,7,0.91,2024-02-21
161,M,66,30-60k,employed,walk-in,8,17.34,2023-01-03
162,F,25,30-60k,employed,online,26,1.62,2023-02-12
163,F,23,60-100k,student,walk-in,21,9.49,2023-12-02
164,F,32,<30k,retired,online,21,2.18,2024-01-08
165,M,44,100k+,employed,walk-in,36,7.73,2023-01-02
166,M,21,60-100k,employed,online,10,5.31,2023-08-29
167,F,59,100k+,employed,online,1,12.11,2024-11-15
168,F,30,60-100k,student,referral,9,12.66,2024-09-24
169,F,25,60-100k,unemployed,online,4,18.3,2024-06-14
170,F,56,60-100k,employed,walk-in,33,2.92,2023-04-18
171,F,38,<30k,employed,walk-in,28,6.82,2024-06-06
172,M,31,60-100k,employed,online,35,24.46,2024-09-28
173,F,66,<30k,employed,referral,4,15.82,2024-07-07
174,F,62,<30k,employed,referral,3,1.5,2024-12-08
175,M,19,60-100k,employed,walk-in,8,2.58,2024-07-15
176,F,61,30-60k,employed,walk-in,23,2.36,2023-04-26
177,M,61,<30k,retired,walk-in,16,1.78,2023-01-12
178,M,29,100k+,employed,online,23,1.24,2023-04-14
179,M,37,100k+,employed,referral,21,6.9,2023-06-10
180,F,29,60-100k,student,online,33,6.03,2024-07-31
181,M,19,100k+,unemployed,online,23,11.58,2023-11-12
182,F,59,30-60k,employed,walk-in,35,5.36,2024-10-31
183,F,20,60-100k,employed,online,21,13.83,2023-09-10
184,F,53,60-100k,employed,referral,3,9.13,2023-01-25
185,F,51,<30k,employed,online,4,9.99,2024-06-15
186,M,23,<30k,employed,walk-in,23,3.51,2024-05-31
187,F,27,<30k,employed,walk-in,31,5.2,2023-07-09
188,M,24,60-100k,employed,walk-in,39,5.95,2023-04-11
189,F,69,<30k,unemployed,referral,37,7.53,2024-06-02
190,F,39,60-100k,student,walk-in,2,16.49,2024-02-09
191,M,32,30-60k,unemployed,online,5,3.42,2024-12-03
192,F,43,<30k,student,online,18,8.14,2024-03-11
193,F,59,60-100k,student,referral,17,11.71,2024-07-13
194,M,27,100k+,employed,walk-in,28,9.46,2024-12-26
195,F,32,100k+,employed,referral,5,8.92,2023-07-19
196,M,60,60-100k,student,online,17,25.13,2023-10-04
197,M,48,30-60k,employed,walk-in,7,4.98,2023-12-16
198,F,25,30-60k,employed,online,28,18.67,2024-10-09
199,F,42,100k+,unemployed,online,36,20.18,2024-01-13
200,M,67,30-60k,employed,online,2,12.46,2024-11-23
201,F,33,60-100k,unemployed,online,15,9.91,2024-05-02
202,M,42,<30k,employed,referral,32,3.74,2023-04-23
203,F,52,60-100k,employed,referral,12,7.3,2024-10-22
204,Other,63,60-100k,student,walk-in,11,10.29,2024-10-23
205,Other,39,30-60k,student,online,21,14.76,2024-02-11
206,F,30,30-60k,student,walk-in,3,12.65,2023-01-19
207,M,47,100k+,unemployed,walk-in,8,6.82,2023-09-18
208,F,21,<30k,employed,referral,25,8.21,2023-10-29
209,F,44,60-100k,employed,walk-in,36,2.04,2023-03-11
210,F,54,<30k,employed,walk-in,10,3.04,2023-08-15
211,M,55,30-60k,unemployed,online,38,6.04,2023-09-30
212,F,21,30-60k,student,online,4,5.95,2024-06-19
213,F,35,60-100k,employed,online,19,7.28,2023-04-27
214,F,36,30-60k,employed,online,33,5.74,2024-09-19
215,M,45,60-100k,retired,referral,33,27.05,2024-02-03
216,M,31,60-100k,student,referral,5,3.14,2024-07-26
217,Other,20,<30k,employed,referral,6,9.48,2023-10-29
218,M,22,60-100k,employed,referral,10,9.38,2024-09-29
219,F,67,100k+,student,online,31,10.67,2024-07-01
220,M,41,<30k,employed,online,35,15.46,2024-02-04
221,F,59,60-100k,employed,online,36,4.61,2024-08-18
222,F,60,<30k,employed,online,7,7.4,2023-07-22
223,Other,32,100k+,employed,referral,14,6.9,2023-11-10
224,Other,22,60-100k,employed,walk-in,19,10.48,2024-03-20
225,M,67,60-100k,employed,online,22,7.51,2024-08-15
226,Other,51,30-60k,employed,walk-in,17,2.34,2024-05-31
227,F,65,<30k,employed,referral,39,12.42,2023-12-10
228,F,55,60-100k,employed,online,32,4.54,2023-08-02
229,M,57,100k+,student,referral,27,5.45,2024-11-10
230,Other,43,30-60k,unemployed,online,3,8.88,2024-11-09
231,F,42,30-60k,employed,online,11,15.41,2024-08-08
232,M,45,60-100k,employed,online,9,14.31,2024-07-07
233,M,23,60-100k,employed,referral,3,7.16,2023-02-09
234,F,45,<30k,employed,referral,37,30.0,2024-06-27
235,M,28,30-60k,retired,online,21,3.17,2023-06-11
236,M,55,100k+,unemployed,online,5,18.59,2024-10-27
237,M,22,100k+,employed,online,38,38.72,2023-07-30
238,F,28,100k+,unemployed,online,24,19.82,2023-10-04
239,M,43,<30k,employed,online,18,8.19,2023-10-06
240,F,39,60-100k,student,referral,27,3.76,2023-03-07
241,M,45,60-100k,employed,walk-in,1,10.61,2024-10-01
242,F,21,100k+,employed,online,21,12.11,2024-07-04
243,F,30,100k+,unemployed,referral,27,9.55,2024-08-25
244,M,63,30-60k,student,walk-in,35,19.94,2023-10-08
245,M,31,100k+,employed,referral,19,6.13,2024-03-01
246,F,45,<30k,retired,walk-in,19,10.94,2023-10-13
247,M,50,30-60k,employed,walk-in,35,26.72,2023-11-30
248,F,21,<30k,student,referral,22,7.68,2024-10-31
249,M,28,100k+,student,walk-in,5,7.29,2024-11-14
250,M,26,100k+,unemployed,referral,24,5.42,2023-06-23
251,F,58,30-60k,employed,online,21,9.99,2024-05-19
252,F,21,60-100k,employed,online,12,7.25,2023-12-27
253,F,40,30-60k,student,online,12,14.7,2023-12-28
254,Other,46,30-60k,unemployed,online,20,9.74,2024-10-14
255,F,66,<30k,employed,online,33,17.48,2023-11-14
256,M,58,30-60k,employed,walk-in,24,5.13,2024-07-24
257,F,58,<30k,unemployed,online,11,6.01,2024-09-11
258,F,25,100k+,student,walk-in,33,4.79,2023-04-13
259,F,22,<30k,unemployed,online,23,14.81,2024-02-24
260,M,36,30-60k,employed,referral,12,2.72,2024-10-16
261,F,19,60-100k,unemployed,online,11,8.7,2024-12-13
262,F,45,<30k,unemployed,walk-in,29,37.95,2023-12-16
263,M,34,60-100k,employed,online,15,1.01,2024-05-19
264,M,38,60-100k,employed,walk-in,9,14.01,2024-09-25
265,F,61,60-100k,student,referral,15,6.22,2024-11-02
266,M,53,30-60k,employed,walk-in,28,9.92,2023-07-15
267,M,18,30-60k,employed,online,18,2.14,2023-05-06
268,F,66,60-100k,unemployed,online,12,18.88,2023-01-31
269,F,62,100k+,employed,referral,3,7.69,2023-12-29
270,M,59,30-60k,employed,online,30,11.26,2023-05-02
271,M,59,30-60k,employed,online,18,1.82,2023-03-09
272,Other,58,30-60k,employed,walk-in,23,1.95,2024-07-07
273,F,62,<30k,employed,online,21,8.73,2024-08-26
274,F,52,<30k,student,online,17,11.95,2023-04-14
275,M,41,60-100k,employed,online,28,11.63,2023-03-05
276,F,51,60-100k,employed,referral,21,14.27,2024-05-01
277,M,34,60-100k,employed,online,6,7.55,2024-08-04
278,F,53,30-60k,employed,walk-in,15,2.82,2024-12-04
279,F,67,60-100k,student,online,28,12.17,2023-12-31
280,M,26,<30k,employed,walk-in,33,13.23,2023-05-27
281,M,20,30-60k,employed,walk-in,31,15.46,2024-12-26
282,F,27,<30k,employed,online,2,14.54,2024-06-30
283,M,47,<30k,retired,walk-in,40,13.94,2024-07-02
284,M,25,60-100k,unemployed,walk-in,36,12.13,2024-12-03
285,M,26,60-100k,employed,walk-in,31,7.16,2023-07-07
286,F,49,<30k,retired,walk-in,16,5.27,2024-10-18
287,F,59,<30k,employed,online,26,1.67,2023-10-22
288,M,40,100k+,employed,referral,29,4.32,2023-11-17
289,F,47,100k+,unemployed,online,25,9.58,2024-07-17
290,F,67,<30k,student,referral,24,12.19,2023-02-28
291,F,35,30-60k,employed,referral,34,1.4,2024-12-16
292,M,48,<30k,student,walk-in,22,6.39,2024-01-25
293,M,46,100k+,student,online,9,9.38,2024-03-03
294,F,35,100k+,employed,referral,12,4.37,2024-12-29
295,F,27,<30k,employed,referral,37,10.74,2024-06-06
296,F,64,100k+,employed,online,19,5.81,2023-10-31
297,M,58,30-60k,employed,walk-in,35,9.27,2024-03-30
298,F,35,30-60k,employed,walk-in,9,6.16,2023-04-10
299,F,62,<30k,employed,referral,36,30.63,2023-01-28
300,Other,61,30-60k,student,online,36,16.62,2024-07-18
301,M,27,<30k,employed,online,22,12.14,2024-02-02
302,M,42,60-100k,employed,referral,24,12.98,2023-08-18
303,F,45,30-60k,employed,online,12,10.94,2024-11-23
304,M,64,60-100k,employed,online,32,2.72,2024-06-02
305,M,29,<30k,employed,walk-in,7,2.5,2023-11-03
306,M,28,60-100k,unemployed,online,22,10.51,2023-07-24
307,F,40,60-100k,unemployed,referral,5,9.34,2024-03-09
308,F,49,<30k,employed,online,7,10.72,2023-10-28
309,M,30,60-100k,unemployed,online,28,3.42,2023-02-18
310,F,55,30-60k,employed,referral,26,4.02,2024-02-26
311,F,32,30-60k,retired,referral,6,30.41,2024-08-20
312,F,31,30-60k,employed,online,30,7.97,2024-09-11
313,F,65,100k+,employed,online,6,17.89,2024-08-02
314,F,65,30-60k,retired,walk-in,12,5.89,2023-11-07
315,M,35,100k+,employed,walk-in,34,1.65,2023-09-02
316,F,51,60-100k,employed,online,32,3.2,2024-08-15
317,M,41,60-100k,student,walk-in,37,4.37,2024-09-04
318,M,45,<30k,unemployed,online,40,11.75,2024-09-04
319,M,46,30-60k,unemployed,online,9,13.84,2023-09-04
320,F,68,30-60k,employed,online,3,21.27,2024-09-16
321,M,43,30-60k,student,online,20,5.03,2023-03-23
322,F,67,100k+,student,referral,23,1.85,2023-07-12
323,M,51,60-100k,employed,online,11,8.55,2024-10-22
324,F,43,60-100k,employed,online,7,6.46,2023-03-25
325,F,69,<30k,employed,online,39,17.67,2024-05-08
326,M,21,30-60k,student,online,24,15.59,2023-01-04
327,M,66,30-60k,employed,online,5,14.12,2023-06-30
328,F,23,<30k,retired,online,38,8.15,2023-12-08
329,F,45,30-60k,student,walk-in,5,6.99,2023-11-02
330,F,54,60-100k,student,online,36,21.75,2024-07-24
331,M,59,60-100k,employed,walk-in,9,1.43,2024-04-24
332,M,34,60-100k,employed,walk-in,21,21.72,2024-07-16
333,M,58,30-60k,employed,online,39,10.51,2023-01-01
334,M,56,100k+,employed,online,29,6.18,2023-09-02
335,F,66,60-100k,unemployed,referral,1,5.7,2024-04-18
336,M,49,30-60k,retired,online,35,7.95,2023-11-11
337,F,23,30-60k,retired,online,1,11.63,2023-12-02
338,F,30,100k+,student,referral,16,5.61,2024-01-11
339,F,54,<30k,employed,referral,16,3.91,2023-06-28
340,M,33,<30k,employed,online,11,6.18,2024-05-31
341,F,31,60-100k,employed,online,19,2.5,2024-03-25
342,M,56,100k+,unemployed,walk-in,15,10.16,2024-04-21
343,M,46,30-60k,retired,referral,8,6.22,2024-10-30
344,Other,19,100k+,employed,online,5,10.73,2024-11-19
345,M,20,<30k,employed,online,24,2.48,2023-01-22
346,M,56,<30k,retired,online,20,24.48,2024-02-18
347,F,39,100k+,employed,walk-in,33,20.33,2023-11-22
348,M,53,<30k,employed,online,19,7.02,2024-09-01
349,M,62,30-60k,employed,walk-in,9,10.25,2024-10-11
350,M,62,60-100k,student,online,38,3.91,2023-05-07
351,F,64,30-60k,employed,walk-in,26,7.46,2023-02-12
352,F,59,60-100k,employed,walk-in,23,7.86,2023-10-26
353,M,57,30-60k,employed,online,33,6.87,2023-12-04
354,M,27,100k+,employed,online,13,5.63,2024-08-25
355,F,68,60-100k,employed,online,25,20.16,2024-11-24
356,F,35,60-100k,employed,walk-in,38,1.65,2024-07-02
357,F,35,60-100k,employed,online,13,0.89,2023-09-13
358,M,60,30-60k,retired,online,3,25.49,2023-02-07
359,M,46,<30k,employed,walk-in,7,3.34,2023-10-30
360,F,52,60-100k,employed,referral,27,45.54,2023-11-15
361,M,41,60-100k,employed,referral,32,19.23,2024-09-13
362,M,59,30-60k,employed,online,9,10.49,2023-03-28
363,F,40,30-60k,employed,online,9,0.73,2024-11-07
364,M,49,60-100k,employed,online,17,13.01,2024-09-11
365,F,39,30-60k,employed,online,32,11.28,2024-09-25
366,M,68,<30k,employed,walk-in,14,5.46,2023-04-28
367,M,45,30-60k,retired,online,33,4.75,2023-01-19
368,F,57,60-100k,employed,walk-in,13,10.63,2023-07-24
369,F,46,30-60k,retired,walk-in,13,15.84,2023-11-01
370,F,66,100k+,student,walk-in,25,3.74,2024-02-20
371,F,33,<30k,student,walk-in,1,24.95,2024-08-20
372,F,68,<30k,employed,walk-in,29,10.68,2023-05-19
373,M,47,60-100k,employed,online,2,6.56,2024-06-17
374,M,64,30-60k,retired,online,18,18.73,2023-08-09
375,F,46,30-60k,employed,walk-in,40,5.54,2024-07-27
376,M,69,<30k,employed,referral,30,13.29,2023-12-14
377,F,51,60-100k,employed,online,8,2.94,2023-11-10
378,F,62,30-60k,unemployed,walk-in,35,17.37,2024-08-05
379,F,45,30-60k,employed,online,31,22.58,2024-07-29
380,F,59,30-60k,unemployed,online,13,4.14,2023-02-09
381,F,19,30-60k,retired,walk-in,15,22.32,2024-12-30
382,F,29,30-60k,employed,referral,38,31.94,2023-03-02
383,M,62,60-100k,employed,online,27,12.26,2024-08-08
384,F,32,60-100k,employed,referral,24,10.13,2024-06-23
385,M,54,30-60k,employed,referral,35,5.32,2023-04-30
386,F,65,30-60k,student,referral,40,5.81,2023-09-15
387,F,50,30-60k,employed,online,20,23.94,2023-04-01
388,F,27,<30k,employed,walk-in,16,3.34,2024-11-29
389,F,28,<30k,employed,online,22,6.86,2024-04-06
390,F,66,60-100k,employed,referral,35,7.53,2023-12-05
391,F,46,60-100k,employed,walk-in,25,13.36,2023-07-30
392,F,28,100k+,employed,walk-in,5,17.84,2023-01-14
393,M,28,60-100k,employed,referral,23,12.41,2024-10-06
394,M,42,60-100k,employed,online,7,2.72,2024-12-26
395,F,34,60-100k,employed,online,33,10.98,2023-02-12
396,M,57,60-100k,retired,walk-in,26,3.05,2024-03-13
397,F,25,<30k,unemployed,walk-in,29,6.47,2024-12-21
398,F,69,<30k,unemployed,walk-in,16,13.09,2024-05-25
399,M,68,<30k,student,walk-in,8,4.15,2024-01-01
400,M,56,30-60k,employed,walk-in,30,11.94,2023-03-12
401,M,51,30-60k,employed,referral,32,1.2,2024-04-29
402,F,54,60-100k,retired,online,23,4.97,2024-07-21
403,M,56,30-60k,employed,online,36,17.13,2023-03-27
404,F,35,30-60k,student,online,23,15.12,2023-07-11
405,F,57,30-60k,employed,online,23,22.26,2023-09-04
406,Other,59,60-100k,employed,online,9,5.31,2024-02-03
407,M,32,30-60k,student,referral,9,3.09,2023-08-06
408,M,35,30-60k,unemployed,walk-in,38,5.88,2023-01-18
409,M,56,30-60k,student,online,13,16.97,2023-08-17
410,F,30,30-60k,employed,walk-in,4,3.85,2023-04-30
411,M,47,100k+,employed,online,16,16.21,2024-02-26
412,Other,25,30-60k,student,online,10,4.51,2023-12-15
413,F,69,60-100k,employed,online,20,6.93,2024-02-10
414,F,62,100k+,student,walk-in,13,4.3,2023-09-30
415,M,25,100k+,employed,online,8,3.86,2023-04-21
416,F,56,<30k,student,walk-in,2,8.86,2023-01-13
417,F,46,60-100k,employed,walk-in,30,23.67,2024-07-20
418,F,36,60-100k,retired,walk-in,31,10.46,2023-11-04
419,F,64,<30k,employed,online,9,3.73,2023-05-20
420,F,31,100k+,employed,referral,12,18.96,2023-05-19
421,F,48,60-100k,employed,walk-in,21,5.57,2024-07-21
422,M,67,30-60k,student,online,8,4.5,2023-05-29
423,Other,57,100k+,employed,walk-in,19,14.13,2023-01-28
424,F,54,100k+,student,online,36,16.51,2024-05-08
425,F,52,<30k,employed,referral,18,16.99,2024-08-31
426,F,25,100k+,employed,online,27,3.07,2024-06-20
427,F,20,<30k,employed,walk-in,26,10.41,2023-12-26
428,F,20,30-60k,employed,referral,15,17.71,2024-11-17
429,M,48,30-60k,student,online,1,7.62,2024-07-31
430,M,38,30-60k,student,online,33,10.79,2023-10-29
431,F,41,<30k,employed,referral,23,4.44,2024-06-13
432,M,52,30-60k,unemployed,referral,10,11.72,2023-08-25
433,M,54,<30k,retired,online,9,12.05,2024-05-28
434,F,68,60-100k,employed,online,26,13.52,2024-03-13
435,M,47,30-60k,retired,online,34,14.55,2024-07-17
436,M,18,30-60k,employed,walk-in,1,11.32,2023-12-01
437,F,55,100k+,student,online,17,4.17,2024-08-24
438,M,55,30-60k,employed,referral,14,18.73,2023-09-26
439,M,52,<30k,unemployed,online,23,5.69,2023-01-26
440,F,43,30-60k,employed,walk-in,18,12.32,2024-01-19
441,M,32,60-100k,retired,walk-in,17,7.04,2024-09-03
442,F,65,<30k,employed,online,7,5.68,2023-05-21
443,F,31,30-60k,employed,online,40,6.6,2023-07-09
444,M,43,<30k,student,walk-in,8,25.57,2024-07-10
445,F,24,100k+,retired,walk-in,16,8.45,2024-04-02
446,M,67,60-100k,employed,walk-in,23,9.35,2024-05-08
447,M,46,100k+,employed,referral,40,19.34,2024-04-01
448,M,37,<30k,student,walk-in,11,16.62,2024-02-20
449,F,23,30-60k,employed,online,11,17.48,2024-05-29
450,Other,29,60-100k,unemployed,online,9,11.54,2023-02-16
451,F,40,30-60k,employed,online,25,2.89,2024-05-04
452,M,47,<30k,employed,walk-in,34,8.08,2023-08-02
453,Other,34,<30k,student,referral,18,7.94,2023-11-27
454,M,68,30-60k,employed,walk-in,6,4.62,2023-10-25
455,F,30,30-60k,employed,online,27,17.06,2023-03-13
456,F,64,30-60k,employed,online,13,11.45,2024-01-11
457,M,25,100k+,employed,online,29,11.75,2024-09-04
458,M,33,30-60k,unemployed,referral,37,7.57,2024-03-11
459,M,59,<30k,employed,referral,29,25.75,2023-06-13
460,M,49,60-100k,employed,online,19,3.6,2023-08-09
461,M,69,100k+,employed,online,19,12.91,2023-04-26
462,F,37,60-100k,student,online,20,11.73,2023-10-27
463,M,59,30-60k,employed,online,30,30.28,2023-06-12
464,F,48,30-60k,employed,walk-in,10,1.21,2023-05-24
465,F,56,100k+,unemployed,referral,21,4.23,2024-02-14
